Artikelcode 1,Artikelcode 2,AFF 1,AFF 2,AFF 3,Date,LCD,LCD subfix,Soft 1,Soft 2,PIE,PIE Subfix1,PIE Subfix2,Link,Model,Year,Notes,VIN
259151852R,,,,,,,,,,,,,,,,,
259155024R,,,,,,,,,,,,,,,,,
259156432R,,,,,,,,,,,,,,,,,
280340011R,---,A3,281199429-S,A,29-10-2008,28119948-2,3,,V06.54,28119429-2,6,NS0050647,http://allegro.pl/wyswietlacz-radia-renault-megane-iii-280340011r-i6784292484.html#thumb/4,Renault Megane III,,,
280340011R,---,A3,28119942-9,A,11-11-2008,28119948-2,3,,V06.54,28119429-2,6,NS0055751,http://allegro.pl/renault-laguna-iii-coupe-wyswietlacz-280340011r-i6515204706.html,Renault Laguna Coupe,2010,,
280340011R,---,A3,281199429-S,A,20-11-2008,28119948-2,3,,V06.54,28119429-2,6,NS0057891,Van mij zelf,Renault Megane III,2009,,
280340017R,---,A2,28119941-1,2,28-3-2009,28119947-4,A,,V16.57,28119954-9,6,NS0079695-2,https://www.ebay.co.uk/itm/Renault-Clio-Mk3-III-2009-Dash-Clock-280340017R/263387226740?hash=item3d531a2274:g:LLoAAOSwzppaCqOj,Renault Clio III,2009,,
280340018R,--A,A3,28119943-2,2,7-10-2009,28119949-5,2,,V07.52,28119955-7,7,NS5089478,http://allegro.pl/wyswietlacz-radia-renault-clio-iii-3-280340018r-i6424673697.html,Renault Clio III,,,
280340616R,--A,A3,1915751-S,A,18-5-2009,28119948-2,3,,V07.52,1915788,Rev. 1,NS0249929,https://www.onderdelenlijn.nl/auto-onderdelen-voorraad/onderdeel/onderdeelnummer/280340616r/onderdeel/display-interieur/onderdeelid/9194604/,Renault Megane III,2009,,
280341078R,--A,A3,2055857-C,2,8-4-2011,28119949-5,2,,V07.52,28119955-7,7,NS0766970,http://bazar.automedik.cz/AMD5961910807/nissan/primastar,Nissan Primastar,,,
280341078R,--A,A3,2055857-C,2,26-9-2010,28119949-5,2,,V07.52,28119955-7,7,NS0637781,https://www.bildelsbasen.se/se-sv/Renault/RENAULT-TRAFIC/2002_2014/Inredning/Radio-&-Stereo/Alla/ID-25673863/OEM-280341078R/,"Renault Trafic II
Opel Vivaro",,,"VF1FLBHB6BY******
VF1FLB1DSCY******
W0LF7B1B6DV******"
280341078R,--B,A3,2055857-C,2,18-1-2013,28119949-5,2,,V07.52,28119955-7,7,NS1229212,Van mij zelf,Renault Clio III,,,"VF1BR950H47******
VF1BRAH0H46******"
280341078R,--B,A3,2055857-M,2,5-7-2012,28119949-5,2,,V07.52,28119955-7,7,NS5728338,,Renault Wind,2013,,VF1EN1F0548******
280346458R,--B,A3,2055847-S,A,18-2-2014,28119948-2,3,,V07.52,1915788,Rev. 1,NS0491700,https://www.leboncoin.fr/equipement_auto/1060534421.htm?ca=12_s,Renault Megane III,2014,,
280348139R,---,A2,1916600-2,1,17-2-2010,28119947-4,A,,V16.57,191544-9,3,NS0394843-P,https://www.ebay.ie/itm/Afficheur-multifonction-autoradio-AFF-A2-LCD-Kangoo-2-Clio-3-trafic-280348139R-/121857552556,Renault Clio III,,,
280340011R,---,A3,28119942-9,A,16-7-2008,28119948-2,3,,V06.54,28119429-2,6,NS0007132,http://allegro.pl/renault-megane-iii-2009-dci-wyswietlacz-280340011r-i7016129102.html,Renault Megane III,2009,,
280340011R,---,A3,281199429-S,A,30-10-2008,28119948-2,3,,V06.54,28119429-2,6,NS0050147,http://allegro.pl/megane-iii-wyswietlacz-radia-zegarek-280340011r-i6182887701.html,Renault Megane III,2009,,
280340011R,---,A3,281199429-S,A,30-10-2008,28119948-2,3,,V06.54,28119429-2,6,NS0050711,http://allegro.pl/wyswietlacz-zegarek-280340011r-renault-megane-iii-i6772067787.html,Renault Megane III,,,
280340011R,---,A3,281199429-S,A,15-1-2009,28119948-2,3,,V06.54,28119429-2,6,NS0087161,http://allegro.pl/megane-iii-wyswietlacz-radia-zegarek-280340011r-i7055877372.html,Renault Megane III,,,
8200290543,--B,A3,21675993-7,,26-6-2006,21675819-6,A1,,V05.50,21675872-4,D,NS0092228-5,,Renault Megane II,2007,Display MP3,
8200307273,--C,A2,21675991-6,,22-9-2005,21675881-0,A3,28113628-7 A,V06.50,28113700-7,A,NS5047918-5,,Renault Clio III,2006,Standaard update list,
8200307274,--C,A3,21675994-0,,6-7-2007,21675177-0,A1,28078746-5,V05.50,21675872-4,D,NS0152607-3,,Renault Clio III,,Possibly Display MP3,
8200307274,--B,,,,,,,,,,,,,,,Possibly Display MP3,
8200722451,---,A2MP3 AMBRE X85,28119148-1,A,16-11-2007,28118886-4,,,V81.35,28121424-7,A,NS0060297-4,,Renault Clio III,,Display MP3,
8200290542,--C,A2,21675992-9,,15-9-2007,21675176-7,,,V06.50,281137--7,A,NS5611672-0,,Megane II,,,
280348813R,,,,,,,,,,,,,,,,R-Plug & Radio+,
