Partnr 1,Partnr 2,Partnr 3,Pre-code,Date,MEC,HW,SW,CD mec,CD HW,CD SW,BT HW,BT SW,Manufacturer,VIN,Type,Notes
281117908R,T,---,Y448,9-2-2011,D200,D30_E00,88.11,Ver 11,Ver 9,FW37,705B,C740,Bosch,VF1BR610H45******,RAD08,
281118069R,,,,,,,,,,,,,,,,
281150038R,T,--D,B972,,,,,,,,,,,,RAD07,
281150039R,,,,,,,,,,,,,,,RAD07,
281150040R,,,,,,,,,,,,,,,,
281150041R,,,,,,,,,,,,,,,,
281151461R,,,,,,,,,,,,,Bosch,,,Twingo
281151640R,,,,,,,,,,,,,,,,
281151921R,T,---,C063,14-5-2012,D200,D40_E00,89.04,Ver 11,Ver 9,FW37,705B,C740,Bosch,,,
281152399R,,,,,,,,,,,,,,,,
281153512R,,,,,,,,,,,,,,,,
281154663R,,,,,,,,,,,,,,,,
281154731R,,,,,,,,,,,,,Anatel,,,Master III
281155412R,,,,,,,,,,,,,,,,
281155453R,,,,,,,,,,,,,,,,
281155473R,T,---,H549/3486,16-1-2012,D200,D40_E00,89.04,Ver 11,Ver 9,FW37,705B,C740,Bosch,VF1BR2HDH46******,RAD08,
281156412R,,,,,,,,,,,,,,,,
281157453R,T,--B,T581/6423,9-7-2009,D101,D10_E01,48.12,0108,"3035-14-327
Ver003",110,705B,C710,Blaupunkt,VF1BRCF0H41******,RAD08,
281157454R,T,--B,D575,24-4-2009,D101,D40_E00,48.12,0108,"3035-14-327
Ver003",110,705B,C710,Blaupunkt,,,
281158179R,T,---,J529,,D200,D40_E00,89.04,Ver. 11,Ver. 9,FW37,705B,C740,Bosch,,,
281158800R,T,---,T162,27-10-2012,D200,D40_E00,89.04,Ver. 11,Ver. 9,FW37,705B,C740,Bosch,,,
281159247R,,--A,,,,,,,,,,,,,,
281159684R,,,,,,,,,,,,,,,,
281159732R,,,,,,,,,,,,,,,,
281159739R,,,,,,,,,,,,,,,,
281261569R,,,,,,,,,,,,,,,RAD07,
