Pin,Signal,Signal label
1,107W,DIAGNOSTIC SOCKET CANH MULTIMEDIA SIGNAL
2,107X,DIAGNOSTIC SOCKET CANL MULTIMEDIA SIGNAL
3,107G,HANDS FREE TELEPHONE MICROPHONE +
4,107F,MULTIMEDIA MICROPHONE SIGNAL
6,137H,CAN H SIGNAL
7,137G,CAN L SIGNAL
11,34EC,RIGHT HAND LINE IN + SIGNAL
12,34EE,LEFT HAND LINE IN + SIGNAL
13,34EM,LINE IN SIGNAL
20,107J,TELEPHONE MICROPHONE SCREENING
21,34KL,REAR CAMERA VIDEO SIGNAL
22,34KJ,- REAR CAMERA
23,34KK,+ REAR CAMERA
24,TB34,REAR CAMERA SHIELDED CABLE
27,TB37,LINE IN SHIELDED CABLE
28,34ET,- LINE IN
